"Violations","name","ARI","AMI","NMI","Mean_Silhouette","Clusters","number_features","number_instances","Cardinality_pred","Cardinality_real","Execution_Time"
0,"churn",-0.0177150478175917,0.000637978182504163,0.000883752217102562,0.349199348973022,2,20,5000,"4293 707","4293 707",13.51
0,"texture",0.458460804226635,0.584938420731585,0.58651900245352,0.217256530238649,11,40,5500,"500 500 500 500 500 500 500 500 500 500 500","500 500 500 500 500 500 500 500 500 500 500",85.882
0,"optdigits",0.630393070243952,0.685069384466107,0.6860586433232,0.162847742892568,10,64,5620,"554 571 557 572 568 558 558 566 554 562","554 571 557 572 568 558 558 566 554 562",78.61
0,"first-order",0.00503733205636947,0.0451272775879288,0.0463540687981959,0.0572255658688322,6,51,6118,"1089 486 748 617 624 2554","1089 486 748 617 624 2554",48.904
0,"gesture",0.127487110596802,0.11860297288956,0.119073156356139,0.0221953196558857,5,32,9873,"2741 998 2097 1087 2950","2741 998 2097 1087 2950",126.64
0,"jm1",0.130740464338176,0.0378829973049685,0.0379730252268194,0.675588704256387,2,21,10885,"8779 2106","8779 2106",60.233
0,"isolet",0.413822229228076,0.62947976874232,0.634115713544095,0.0549510885248118,26,617,7797,"300 300 300 300 300 298 300 300 300 300 300 300 299 300 300 300 300 300 300 300 300 300 300 300 300 300","300 300 300 300 300 298 300 300 300 300 300 300 299 300 300 300 300 300 300 300 300 300 300 300 300 300",660.018
