"Violations","name","Best_Seed","ARI","AMI","NMI","Mean_Silhouette","Clusters","number_features","number_instances","Cardinality_BAT","Cardinality_REAL","Execution_Time"
0,"churn",8349,-0.0188055460041514,0.000754840225927229,0.00100058552053424,0.297953113052777,2,20,5000,"4293 707","4293 707",517.112
0,"texture",6156,0.567363645399891,0.675885764582986,0.67712001285338,0.241582955521946,11,40,5500,"500 500 500 500 500 500 500 500 500 500 500","500 500 500 500 500 500 500 500 500 500 500",613.295
0,"optdigits",430,0.616806435008725,0.677008627481051,0.678023206757466,0.241229876098787,10,64,5620,"554 571 557 572 568 558 558 566 554 562","554 571 557 572 568 558 558 566 554 562",631.402
0,"first-order",7262,-0.0069261980730924,0.0334453592116319,0.0346871589926192,0.0843759103416872,6,51,6118,"1089 486 748 617 624 2554","1089 486 748 617 624 2554",775.947
0,"gesture",2791,0.0380991803509881,0.0409313143077603,0.0414429319164609,-0.010209975189548,5,32,9873,"2741 998 2097 1087 2950","2741 998 2097 1087 2950",2245.02
0,"isolet",8349,0.354693177188412,0.593478105387495,0.598564502580273,0.057218398657609,26,617,7797,"300 300 300 300 300 298 300 300 300 300 300 300 299 300 300 300 300 300 300 300 300 300 300 300 300 300","300 300 300 300 300 298 300 300 300 300 300 300 299 300 300 300 300 300 300 300 300 300 300 300 300 300",1520.31
0,"jm1",6223,0.998288880386775,0.993511343871042,0.993511951032359,0.0838735901438413,2,21,10885,"8779 2106","8779 2106",3765.303
